TDA,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore
aggrieved,0.2184833366718773,-0.019858337735105338,-0.022296607260952964,-0.025252043616003226,-0.013778531411746349
aghast,-0.018472509462110927,-0.04907943760057292,-0.02437983538319201,-0.025028659421680984,-0.013466606769975721
agile,0.035745067203049936,0.014501500719661662,-0.005987907103995874,-0.011796390785528724,-0.0072496755457454555
agitable,-0.018977209418750755,-0.04949350793760543,-0.026420803734951346,-0.025865701174901293,-0.014012762381223419
agitated,-0.014483848949760335,-0.03204808086761691,-0.01432081959295205,-0.025868911895737118,-0.013157557009696067
agitating,-0.01882086935575533,-0.04864136870674829,-0.026376361535010245,-0.025843840947933978,-0.014006293897868727
agitative,-0.018979499674106896,-0.04948741306603917,-0.026422390956377814,-0.02586877526931857,-0.014012834253260692
aglossate,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
agnostical,-0.018979861293373656,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
agog,-0.018847388101984313,-0.04827948570750185,-0.02575972601082749,-0.025652359022342162,-0.013853278330511662
agonistical,-0.018979620213862482,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
agonized,-0.018852209692207765,-0.04416163810555029,-0.024399675651022856,-0.02561546988933482,-0.01393377501225892
agonizing,-0.018895845083730007,-0.04700337197331705,-0.023328301188157062,-0.023744371087351286,-0.01239571341458808
agreeable,-0.008276051537066002,0.04230935224070369,0.028335756243371236,0.010542028646695277,-0.009944876943533142
agrestial,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
agrestic,-0.018979017515084552,-0.04949388886707832,-0.026419216513524878,-0.025868433703272208,-0.01401082183621701
agrodolce,-0.018979981833129243,-0.04949426979655121,-0.026406717144791442,-0.025850945521698355,-0.014012834253260692
ahungered,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
ahungry,-0.018962865187835985,-0.04949350793760543,-0.02632219760383203,-0.025845617091375072,-0.014006581386017824
aidant,-0.018973954845349927,-0.049408941594623626,-0.026269620894080283,-0.025249994219725038,-0.013243803454425272
ailing,-0.013218181516104209,-0.006068690816451619,0.007007468325209592,-0.024120093738351996,-0.011296071244290704
aimful,-0.018962744648080402,-0.0494946507260241,-0.026421498144325425,-0.02586686249945893,-0.014010678092142462
aiming,-0.017831237962391822,-0.03189570907846052,0.019407635719489617,-0.014665545574988687,-0.005028829593968402
aimless,-0.018255537902055592,-0.046226275848619436,0.019308434380335377,-0.024734912621807704,-0.012704763174867734
air-monger,-0.018979861293373656,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
airy,-0.017884275454849795,-0.03665732748959785,-0.02308029784027146,-0.0192698558799792,-0.011748865079119035
ajangle,-0.018979981833129243,-0.0494946507260241,-0.0264232837684302,-0.025868911895737118,-0.014012834253260692
ajar,-0.018378488452753614,-0.043666429790792,-0.022951336099370948,-0.02447532242657085,-0.013171931417150933
alacrious,-0.018979981833129243,-0.0494946507260241,-0.0264232837684302,-0.025868911895737118,-0.014012834253260692
alacritous,-0.018979017515084552,-0.04948284191236448,-0.026423184567091047,-0.025868638642900024,-0.014012546765111595
alambique,-0.018979981833129243,-0.0494946507260241,-0.026422490157716968,-0.02586850201648148,-0.01399407565153209
alamort,-0.018979861293373656,-0.0494946507260241,-0.0264232837684302,-0.025868843582527844,-0.014012834253260692
alar,-0.018966722460014747,-0.049288948810662966,-0.02580139057327227,-0.025702227665111346,-0.0138870581880306
alarmable,-0.018979620213862482,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
alarmed,-0.017232155377127925,-0.03551453907092489,-0.02112603145893293,-0.023546262780460004,-0.011224199207016365
alarmist,-0.018613540976146897,-0.04664148897407061,-0.025272647435580168,-0.025360661618747067,-0.013663536152107409
alchemistic,-0.018979499674106896,-0.049491222360768083,-0.026423085365751893,-0.025847803114071803,-0.014012834253260692
alcoholic,0.3775958140457903,0.38095565364079087,0.5300961296855182,0.3320923046940298,0.35397199659135153
aldermanic,-0.01897937913435131,-0.049492746078659645,-0.02641733168808095,-0.025868911895737118,-0.014012834253260692
alert,0.03550398769187734,0.12039989418335595,0.04728321202183111,0.01908117980580231,-0.010045497795717217
alexipharmic,-0.018979861293373656,-0.04947255681659642,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
algefacient,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
algid,-0.01897781211752869,-0.04946303357977415,-0.02642020852691642,-0.02586857032969075,-0.01401261863714887
alien,-0.0013811775175297714,0.1421128741381422,0.04430717184720391,0.2671947558848163,0.025948018471271418
alive,-0.010903818208847293,-0.020963033206489196,0.015340380814165768,0.0010464925577682548,5.771893134299883e-4
all-round,-0.0015017172731160691,0.08306880584003926,0.002444206724114543,0.031650810312007865,0.015023468805571993
