TDA,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore,freq_index
apposite,NA,NA,NA,NA,NA,NA
appreciated,-0.12678000383892188,-0.0572849162328864,-0.05063558965439973,NA,NA,-0.09203246003590414
appreciative,-0.11121182115269149,-0.05486249407966484,-0.04812031202051659,-0.04965204919420718,-0.05975340705000126,-0.06886994286914119
apprehensive,-0.12191238066689758,-0.05626881473878789,-0.04914875789179589,-0.04908329534099446,-0.05912035431757197,-0.07161257690376333
apprising,NA,NA,NA,NA,NA,NA
approachable,-0.08198993757589722,-0.05507373982352429,-0.04395070348397062,-0.04887197967964479,NA,-0.061978552359688764
approachless,NA,NA,NA,NA,NA,NA
approbative,NA,NA,NA,NA,NA,NA
approbatory,NA,NA,NA,NA,NA,NA
appropriative,NA,NA,NA,NA,NA,NA
approved,0.03495935956706964,-0.0520060002202885,-0.04912106645846737,-0.0499803871520249,-0.05964890579272908,-0.052689089905877465
approving,-0.12667296066768866,-0.05765039842254829,-0.05062913070912748,NA,NA,-0.09216167954511847
approximating,NA,NA,-0.05086024260125028,NA,NA,NA
aprioristic,NA,NA,NA,NA,NA,NA
apt,-0.1274903981718365,-0.05481904697927907,-0.05025447181298766,-0.05023953872068788,-0.06066771148374274,-0.07330790711196149
aquiline,-0.13083619008205474,-0.05780335623812403,-0.05054613739639754,NA,NA,-0.09431977316008938
arable,NA,NA,NA,NA,NA,NA
arbitrary,-0.11404484935080808,-0.05750466652052393,-0.04824501743828621,NA,NA,-0.08577475793566601
arbitrative,NA,NA,NA,NA,NA,NA
arcadian,NA,-0.05637726809025852,-0.05072987730305736,-0.04906457090382243,-0.05774554109040163,-0.0549508954945725
