TDA,coded,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore
appreciated,[appreciated person],-0.12678000383892188,-0.0572849162328864,-0.05063558965439973,NA,NA
appreciative,[appreciative person],-0.11121182115269147,-0.05486249407966484,-0.048120312020516594,-0.04965204919420718,-0.05975340705000126
apprehensive,[apprehensive person],-0.12191238066689758,-0.05626881473878789,-0.04914875789179589,-0.04908329534099446,-0.059120354317571976
apprising,[apprising person],NA,NA,NA,NA,NA
approachable,[approachable person],-0.08198993757589722,-0.055073739823524294,-0.04395070348397062,-0.04887197967964479,NA
approachless,[approachless person],NA,NA,NA,NA,NA
approbative,[approbative person],NA,NA,NA,NA,NA
approbatory,[approbatory person],NA,NA,NA,NA,NA
appropriative,[appropriative person],NA,NA,NA,NA,NA
approved,[approved person],0.034959359567069644,-0.052006000220288506,-0.04912106645846737,-0.0499803871520249,-0.05964890579272908
approving,[approving person],-0.12667296066768866,-0.05765039842254829,-0.05062913070912748,NA,NA
approximating,[approximating person],NA,NA,-0.050860242601250286,NA,NA
aprioristic,[aprioristic person],NA,NA,NA,NA,NA
