TDA,coded,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore
ampullous,[ampullous person],NA,NA,NA,NA,NA
amurcous,[amurcous person],NA,NA,NA,NA,NA
amusing,[amusing person],-0.09537263271110298,-0.050442147047368914,-0.0391805943931304,-0.047324874189526765,-0.05473246433288561
anachronistic,[anachronistic person],NA,NA,-0.050669759596129946,NA,NA
anachronous,[anachronous person],NA,NA,NA,NA,NA
anal,[anal person],-0.12504894476416317,NA,-0.05079791480507518,NA,NA
analgesic,[analgesic person],NA,NA,NA,NA,NA
analytical,[analytical person],-0.05691499265776379,-0.05648011020444373,-0.04729032815180223,NA,NA
anarchistic,[anarchistic person],NA,NA,NA,NA,NA
ancestral,[ancestral person],-0.1289380433360131,-0.053982754797395366,-0.0489322815434555,-0.04963187428678449,NA
anchor,[anchor person],-0.08497519711468142,-0.03670038231459296,-0.03216418123847686,-0.04973679754305544,-0.05986250285415742
ancient,[ancient person],-0.05990407661877082,0.09849708193559219,0.15724797773447735,-0.04838841446900058,-0.05317124977959389
ancipital,[ancipital person],NA,NA,NA,NA,NA
andante,[andante person],NA,NA,NA,NA,NA
anecdotal,[anecdotal person],NA,NA,-0.05092406935002853,NA,NA
angelic,[angelic person],-0.11773212488640625,-0.036986669079859126,-0.04681693160160874,-0.03733629942350446,-0.045193241759815615
angler,[angler person],NA,NA,NA,NA,NA
anglican,[anglican person],NA,-0.053944193722890124,-0.0503843127477097,-0.04954626644814523,NA
anglo-catholic,[anglo - catholic person],NA,NA,NA,NA,NA
angry,[angry person],1.044297862986346,0.2824801480219505,0.3988492885296558,0.019363989803375968,0.0691012485488078
anguine,[anguine person],NA,NA,NA,NA,NA
anguished,[anguished person],-0.12568823688405317,-0.04676715979527874,-0.04530093550634625,-0.04798243300581579,-0.05847789340057185
angular,[angular person],-0.12200837418947372,-0.007265428775594131,-0.019740339632506,-0.0437115795516956,-0.05704722228035619
angulate,[angulate person],NA,NA,NA,NA,NA
anile,[anile person],NA,NA,NA,NA,NA
animal,[animal person],0.01493743710347686,-0.0521785639175139,0.010382333710163193,-0.04458911951323453,-0.05389083065459851
animal-spirits,[animal - spirits person],NA,NA,NA,NA,NA
animated,[animated person],-0.1064708583270908,-0.04632312317976387,-0.034331097590255405,-0.04300990527538356,-0.05447880676780286
animating,[animating person],NA,NA,-0.05064299014835114,NA,NA
animative,[animative person],NA,NA,NA,NA,NA
animose,[animose person],NA,NA,NA,NA,NA
anisometric,[anisometric person],NA,NA,NA,NA,NA
annihilative,[annihilative person],NA,NA,NA,NA,NA
annoyed,[annoyed person],-0.12142485923440632,-0.051444734984505115,-0.04877701874633846,-0.04876220356946588,NA
annoying,[annoying person],0.060617504909488536,-0.024828245436616454,-0.02544645876430255,-0.02177665744241331,-0.03356107894263192
anomalous,[anomalous person],-0.12729290301048854,-0.0556473078468715,-0.050681312726223955,NA,NA
anormal,[anormal person],NA,NA,NA,NA,NA
answerable,[answerable person],NA,NA,NA,NA,NA
antagonistic,[antagonistic person],-0.12078699729822971,-0.05678953361441304,-0.05031104899589404,NA,NA
antagonizing,[antagonizing person],NA,NA,NA,NA,NA
anthropoid,[anthropoid person],NA,NA,-0.050938355781632576,NA,NA
anti-racist,[anti-racist person],NA,NA,NA,NA,NA
antialcoholic,[antialcoholic person],NA,NA,NA,NA,NA
anticipative,[anticipative person],NA,NA,NA,NA,NA
antiquarian,[antiquarian person],NA,NA,NA,NA,NA
antiquated,[antiquated person],-0.13036150518596062,-0.057281946850670847,-0.05074367145036551,-0.04995361906751992,NA
antisocial,[antisocial person],-0.07835344652163714,-0.05519859716171964,-0.048620347030917284,-0.049178319665358655,-0.056796748701446034
antrorse,[antrorse person],NA,NA,NA,NA,NA
anxious,[anxious person],0.3639594705217326,-0.009608306181139689,-0.02453911537643169,-0.028388014897214105,-0.0326271096653398
anythingarian,[anythingarian person],NA,NA,NA,NA,NA
apache,[apache person],-0.12925797543270082,-0.01168242458255783,-0.043272093148374144,-0.028841092594747795,-0.03076978439799751
apathetic,[apathetic person],-0.11039814280408854,-0.056073232442543,-0.0496133526516803,-0.0493306372334111,-0.05959334988970142
aphasic,[aphasic person],-0.1003639738708707,-0.05721136839915216,-0.04825459183916064,-0.05031745238173678,-0.06058420638661043
aphonic,[aphonic person],NA,NA,NA,NA,NA
aphoristic,[aphoristic person],NA,NA,NA,NA,NA
aphrodisiac,[aphrodisiac person],NA,NA,NA,NA,NA
aping,[aping person],NA,-0.057633495313243605,-0.050854102467044575,NA,NA
apish,[apish person],NA,NA,-0.05029329662526178,NA,NA
aplastic,[aplastic person],NA,NA,NA,NA,NA
aplomb,[aplomb person],NA,NA,NA,NA,NA
apocryphal,[apocryphal person],-0.13025624366465435,NA,NA,NA,NA
apodal,[apodal person],NA,NA,NA,NA,NA
apolaustic,[apolaustic person],NA,NA,NA,NA,NA
apolitical,[apolitical person],-0.11392211547390736,-0.05479195310330076,-0.04650978741130463,NA,NA
apollonian,[apollonian person],NA,NA,-0.05020904331067378,NA,NA
apologetic,[apologetic person],-0.12549373189903074,-0.05587925855260756,-0.04893453581274214,-0.049911947842444127,-0.05983331631424205
apoplectic,[apoplectic person],-0.1305528637668136,-0.0578094740350766,-0.050325983529918,NA,NA
aposematic,[aposematic person],NA,NA,NA,NA,NA
apostate,[apostate person],-0.12933806572065124,-0.055344077579171216,-0.050343454116889425,NA,NA
apostic,[apostic person],NA,NA,NA,NA,NA
apothegmatic,[apothegmatic person],NA,NA,NA,NA,NA
appalled,[appalled person],NA,-0.05763034031623863,-0.05092463291735019,NA,NA
appalling,[appalling person],-0.1250746880710044,-0.053444652530435906,-0.048370123140100724,-0.049601828081579626,NA
apparent,[apparent person],-0.12266196814649775,-0.05651259498842087,-0.04855412787062236,-0.04984768234797816,-0.059564800147020557
appealing,[appealing person],-0.09381373246349645,-0.03122587825225832,-0.039631448250457536,-0.04454977329213292,-0.05763307573611216
appeasing,[appeasing person],NA,NA,-0.051035204825859666,NA,NA
appetent,[appetent person],NA,NA,NA,NA,NA
appetizing,[appetizing person],NA,-0.057204474146437596,NA,-0.05028269655309702,NA
applause-seeking,[applause - seeking person],NA,NA,NA,NA,NA
apposite,[apposite person],NA,NA,NA,NA,NA
appreciated,[appreciated person],-0.12696539094011983,-0.057348201787775305,-0.05069540190926542,NA,NA
appreciative,[appreciative person],-0.11139784121975549,-0.05492983815759221,-0.0481824552219883,-0.0497285109904295,-0.0598444602658461
apprehensive,[apprehensive person],-0.12210276631455817,-0.056334396083510305,-0.04921096558401583,-0.04916103117426856,-0.05921243901058763
apprising,[apprising person],NA,NA,NA,NA,NA
approachable,[approachable person],-0.08222924438495248,-0.05514017129125716,-0.04401600201296392,-0.048950588506861466,NA
approachless,[approachless person],NA,NA,NA,NA,NA
approbative,[approbative person],NA,NA,NA,NA,NA
approbatory,[approbatory person],NA,NA,NA,NA,NA
appropriative,[appropriative person],NA,NA,NA,NA,NA
approved,[approved person],0.034716877859805644,-0.052075150126795304,-0.049183069001593714,-0.05005639616627625,-0.05973981325364042
approving,[approving person],-0.1268566969779014,-0.05771377245925905,-0.050689484452388,NA,NA
approximating,[approximating person],NA,NA,-0.05092012437877692,NA,NA
aprioristic,[aprioristic person],NA,NA,NA,NA,NA
